"吐出パターン番号","ターゲットカラム","注入開始日","平均値","違反ルール","CL","UCL_3sigma","LCL_3sigma","上側2sigma","下側2sigma","上側1sigma","下側1sigma","違反ルール_str"
"1","A剤流圧(Mpa)","2026-04-15","0.1952479338842975","[2, 3]","0.19660453030591415","0.2481102102144979","0.14509885039733042","0.23094165024497","0.16226741036685832","0.21377309027544206","0.17943597033638625","2,3"
"1","A剤流圧(Mpa)","2026-04-16","0.1988185654008439","[3]","0.19660453030591415","0.2481102102144979","0.14509885039733042","0.23094165024497","0.16226741036685832","0.21377309027544206","0.17943597033638625","3"
"2","A剤流圧(Mpa)","2026-04-15","0.1941176470588235","[2, 5, 6]","0.19547881566576286","0.2232258609566678","0.16773177037485792","0.21397684585969948","0.17698078547182625","0.20472783076273118","0.18622980056879454","2,5,6"
"6","A剤流圧(Mpa)","2026-04-15","0.17076923076923078","[2, 5, 6]","0.17456990826128418","0.20178679744440972","0.14735301907815865","0.19271450105003454","0.15642531547253383","0.18364220465565936","0.165497611866909","2,5,6"
"6","A剤流圧(Mpa)","2026-04-16","0.17339285714285715","[2]","0.17456990826128418","0.20178679744440972","0.14735301907815865","0.19271450105003454","0.15642531547253383","0.18364220465565936","0.165497611866909","2"
"6","A剤流圧(Mpa)","2026-04-17","0.17022222222222222","[2]","0.17456990826128418","0.20178679744440972","0.14735301907815865","0.19271450105003454","0.15642531547253383","0.18364220465565936","0.165497611866909","2"
"6","A剤流圧(Mpa)","2026-04-20","0.17084745762711864","[2]","0.17456990826128418","0.20178679744440972","0.14735301907815865","0.19271450105003454","0.15642531547253383","0.18364220465565936","0.165497611866909","2"
"7","A剤流圧(Mpa)","2026-04-15","0.19196721311475412","[2, 5, 6]","0.2017061669858572","0.23477495005464027","0.1686373839170741","0.2237520223650459","0.17966031160666848","0.21272909467545156","0.19068323929626282","2,5,6"
"7","A剤流圧(Mpa)","2026-04-16","0.19742424242424245","[2]","0.2017061669858572","0.23477495005464027","0.1686373839170741","0.2237520223650459","0.17966031160666848","0.21272909467545156","0.19068323929626282","2"
"7","A剤流圧(Mpa)","2026-04-17","0.19516666666666668","[2]","0.2017061669858572","0.23477495005464027","0.1686373839170741","0.2237520223650459","0.17966031160666848","0.21272909467545156","0.19068323929626282","2"
