パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
9,1番目,FEEJ003434D04E4,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,990,1932,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,941.0666667
26,1番目,FEEJ003434D04F5,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,961,1997,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,17.0000002,940.6333333
17,1番目,FEEJ003434CFD8L,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,972,2062,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,940.6833333
17,2番目,FEEJ003434D050Y,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,972,2062,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.6833333
12,1番目,FEEJ003434D052-,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,963,2116,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.5166667
19,1番目,FLWJ002434D075+,1,2,無,0.17,0.17,0.047,-0.034,0.047,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,975,2339,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FLWJ002,,14.00000013,940.35
13,2番目,FEEJ003434D051Z,1,2,無,0.16,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,945,2196,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.5333333
23,1番目,FFPJ002434D06F7,1,2,無,0.16,0.16,0.047,-0.034,0.047,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,980,2266,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FFPJ002,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.8333333
19,2番目,FFPJ002434D070-,1,2,無,0.17,0.17,0.047,-0.034,0.047,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,975,2339,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FFPJ002,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,940.35
8,1番目,FLWJ002434D0770,1,2,無,0.17,0.17,0.047,-0.034,0.047,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,983,2411,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FLWJ002,,15.99999997,940.7333333
15,2番目,FEEJ003434D04C2,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,445,351.0,290,995,1855,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.99999997,941.0166667
13,1番目,FFPJ002434D06E6,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,945,2196,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FFPJ002,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.00000013,940.5333333
15,1番目,FEEJ003434D04D3,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,995,1855,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,941.0166667
46,1番目,FEEJ003434D043-,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,1031,1505,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,940.9166667
4,1番目,FEEJ003434D044.,1,2,無,0.17,0.17,0.047,-0.034,0.046,-0.083,タンク1,タンク1,50.8,60,70.3,9.9,215,351.0,290,970,1801,2026/4/1,2026/4/2,2026/4/1,2026/4/1,2026/4/1,2026/4/1,2026/4/2,2026/4/2,2026/4/1,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,940.9833333
