日付,ロット番号,塗布長,種別,号機,コーター部温度,コーター部相対湿度,ポンプ圧力,乾燥ゾーン1温度,乾燥ゾーン2温度,UV照度,ランプ点灯時間,チャンバー内O2濃度,UVロール温度,ブリードアウト
2026-03-19,SC20260319-0001,500m,試作品,YC-08,28.20,50.5,0.900,120.00,122.00,1020.2,600,0.01100,89.07,FALSE
2026-03-19,SC20260319-0002,1000m,製造,YC-08,28.21,50.6,0.902,120.02,122.03,1020.4,601,0.01100,89.05,FALSE
2026-03-19,SC20260319-0003,1200m,製造,YC-08,28.22,50.7,0.904,120.04,122.05,1020.6,602,0.01100,89.05,FALSE
2026-03-19,SC20260319-0004,1500m,製造,YC-08,28.20,50.8,0.906,120.06,122.08,1020.8,603,0.01100,89.05,FALSE
2026-03-19,SC20260319-0005,500m,製造,YC-08,28.21,50.9,0.900,120.08,122.10,1021.0,604,0.01100,89.05,FALSE
2026-03-19,SC20260319-0006,1000m,製造,YC-08,28.22,50.5,0.902,120.10,122.12,1021.2,605,0.01100,89.05,FALSE
2026-03-19,SC20260319-0007,1200m,製造,YC-08,28.20,50.6,0.904,120.00,122.15,1021.4,606,0.01100,89.05,FALSE
2026-03-19,SC20260319-0008,1500m,製造,YC-08,28.21,50.7,0.906,120.02,122.00,1021.6,607,0.01100,89.05,FALSE
2026-03-19,SC20260319-0009,500m,製造,YC-08,28.22,50.8,0.900,120.04,122.03,1021.8,608,0.01100,89.05,FALSE
2026-03-19,SC20260319-0010,1000m,製造,YC-08,28.20,50.9,0.902,120.06,122.05,1020.2,609,0.01100,89.05,FALSE
2026-03-19,SC20260319-0011,1200m,製造,YC-08,28.21,50.5,0.904,120.08,122.08,1020.4,610,0.01100,89.05,FALSE
2026-03-19,SC20260319-0012,1500m,製造,YC-08,28.22,50.6,0.906,120.10,122.10,1020.6,611,0.01100,89.05,FALSE
2026-03-19,SC20260319-0013,500m,製造,YC-08,28.20,50.7,0.900,120.00,122.12,1020.8,612,0.01100,89.05,FALSE
2026-03-19,SC20260319-0014,1000m,製造,YC-08,28.21,50.8,0.902,120.02,122.15,1021.0,613,0.01100,89.05,FALSE
2026-03-19,SC20260319-0015,1200m,製造,YC-08,28.22,50.9,0.904,120.04,122.00,1021.2,614,0.01100,89.05,FALSE
2026-03-19,SC20260319-0016,1500m,製造,YC-08,28.20,50.5,0.906,120.06,122.03,1021.4,615,0.01100,89.05,FALSE
2026-03-19,SC20260319-0017,500m,製造,YC-08,28.21,50.6,0.900,120.08,122.05,1021.6,616,0.01100,89.05,FALSE
2026-03-19,SC20260319-0018,1000m,試作品,YC-08,28.22,50.7,0.902,120.10,122.08,1021.8,617,0.01100,89.05,FALSE
2026-03-19,SC20260319-0019,1200m,製造,YC-08,28.20,50.8,0.904,120.00,122.10,1020.2,618,0.01100,89.05,FALSE
2026-03-19,SC20260319-0020,1500m,製造,YC-08,28.21,50.9,0.906,120.02,122.12,1020.4,619,0.01100,89.07,FALSE
2026-03-19,SC20260319-0021,500m,製造,YC-08,28.22,50.5,0.900,120.04,122.15,1020.6,620,0.01100,89.05,FALSE
